Enrollment/Roll Number,Enrollment Number,Academic Session,Full Name,Branch,Mobile Number,Address,Department,School,Current Year of Study,Current Semester,Section
235IEC020,2300100040,2026-2027,Riya Jain,Electronics and Communication Engineering,9876000040,Bulandshahr Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,B
235LCS001,2300100041,2026-2027,Rohan Chandra,Computer Science and Engineering,9876000041,Greater Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,A
235LCS002,2300100042,2026-2027,Saanvi Patel,Computer Science and Engineering,9876000042,Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,A
235LCS003,2300100043,2026-2027,Samarth Saxena,Computer Science and Engineering,9876000043,Ghaziabad Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,A
235LCS004,2300100044,2026-2027,Siya Rao,Computer Science and Engineering,9876000044,Delhi,Computer Science and Engineering,School of Information and Communication Technology,2,3,A
235LCS005,2300100045,2026-2027,Vedant Gupta,Computer Science and Engineering,9876000045,Meerut Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,A
235LCS006,2300100046,2026-2027,Vanya Bansal,Computer Science and Engineering,9876000046,Agra Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,A
235LCS007,2300100047,2026-2027,Vihaan Malhotra,Computer Science and Engineering,9876000047,Mathura Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,A
235LCS008,2300100048,2026-2027,Zara Sharma,Computer Science and Engineering,9876000048,Aligarh Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,A
235LCS009,2300100049,2026-2027,Aarav Yadav,Computer Science and Engineering,9876000049,Hapur Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,A
235LCS010,2300100050,2026-2027,Aditi Tiwari,Computer Science and Engineering,9876000050,Bulandshahr Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,A
235LCS011,2300100051,2026-2027,Advik Khan,Computer Science and Engineering,9876000051,Greater Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,B
235LCS012,2300100052,2026-2027,Ananya Kumar,Computer Science and Engineering,9876000052,Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,B
235LCS013,2300100053,2026-2027,Arjun Kapoor,Computer Science and Engineering,9876000053,Ghaziabad Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,B
235LCS014,2300100054,2026-2027,Avni Saini,Computer Science and Engineering,9876000054,Delhi,Computer Science and Engineering,School of Information and Communication Technology,2,3,B
235LCS015,2300100055,2026-2027,Dev Verma,Computer Science and Engineering,9876000055,Meerut Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,B
235LCS016,2300100056,2026-2027,Diya Mehta,Computer Science and Engineering,9876000056,Agra Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,B
235LCS017,2300100057,2026-2027,Ishaan Agarwal,Computer Science and Engineering,9876000057,Mathura Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,B
235LCS018,2300100058,2026-2027,Kavya Srivastava,Computer Science and Engineering,9876000058,Aligarh Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,B
235LCS019,2300100059,2026-2027,Krish Mishra,Computer Science and Engineering,9876000059,Hapur Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,B
235LCS020,2300100060,2026-2027,Meera Chauhan,Computer Science and Engineering,9876000060,Bulandshahr Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,2,3,B
235LEA001,2300100061,2026-2027,Naksh Arora,Electronics AI and Machine Learning,9876000061,Greater Noida Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235LEA002,2300100062,2026-2027,Navya Singh,Electronics AI and Machine Learning,9876000062,Noida Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235LEA003,2300100063,2026-2027,Pranav Joshi,Electronics AI and Machine Learning,9876000063,Ghaziabad Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235LEA004,2300100064,2026-2027,Riya Jain,Electronics AI and Machine Learning,9876000064,Delhi,Electronics AI and Machine Learning,School of Engineering,2,3,A
235LEA005,2300100065,2026-2027,Rohan Chandra,Electronics AI and Machine Learning,9876000065,Meerut Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235LEA006,2300100066,2026-2027,Saanvi Patel,Electronics AI and Machine Learning,9876000066,Agra Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235LEA007,2300100067,2026-2027,Samarth Saxena,Electronics AI and Machine Learning,9876000067,Mathura Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235LEA008,2300100068,2026-2027,Siya Rao,Electronics AI and Machine Learning,9876000068,Aligarh Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235LEA009,2300100069,2026-2027,Vedant Gupta,Electronics AI and Machine Learning,9876000069,Hapur Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235LEA010,2300100070,2026-2027,Vanya Bansal,Electronics AI and Machine Learning,9876000070,Bulandshahr Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235LEA011,2300100071,2026-2027,Vihaan Malhotra,Electronics AI and Machine Learning,9876000071,Greater Noida Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235LEA012,2300100072,2026-2027,Zara Sharma,Electronics AI and Machine Learning,9876000072,Noida Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235LEA013,2300100073,2026-2027,Aarav Yadav,Electronics AI and Machine Learning,9876000073,Ghaziabad Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235LEA014,2300100074,2026-2027,Aditi Tiwari,Electronics AI and Machine Learning,9876000074,Delhi,Electronics AI and Machine Learning,School of Engineering,2,3,B
235LEA015,2300100075,2026-2027,Advik Khan,Electronics AI and Machine Learning,9876000075,Meerut Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235LEA016,2300100076,2026-2027,Ananya Kumar,Electronics AI and Machine Learning,9876000076,Agra Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235LEA017,2300100077,2026-2027,Arjun Kapoor,Electronics AI and Machine Learning,9876000077,Mathura Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235LEA018,2300100078,2026-2027,Avni Saini,Electronics AI and Machine Learning,9876000078,Aligarh Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235LEA019,2300100079,2026-2027,Dev Verma,Electronics AI and Machine Learning,9876000079,Hapur Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235LEA020,2300100080,2026-2027,Diya Mehta,Electronics AI and Machine Learning,9876000080,Bulandshahr Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235LIT001,2300100081,2026-2027,Ishaan Agarwal,Information Technology,9876000081,Greater Noida Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235LIT002,2300100082,2026-2027,Kavya Srivastava,Information Technology,9876000082,Noida Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235LIT003,2300100083,2026-2027,Krish Mishra,Information Technology,9876000083,Ghaziabad Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235LIT004,2300100084,2026-2027,Meera Chauhan,Information Technology,9876000084,Delhi,Information Technology,School of Information and Communication Technology,2,3,A
235LIT005,2300100085,2026-2027,Naksh Arora,Information Technology,9876000085,Meerut Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235LIT006,2300100086,2026-2027,Navya Singh,Information Technology,9876000086,Agra Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235LIT007,2300100087,2026-2027,Pranav Joshi,Information Technology,9876000087,Mathura Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235LIT008,2300100088,2026-2027,Riya Jain,Information Technology,9876000088,Aligarh Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235LIT009,2300100089,2026-2027,Rohan Chandra,Information Technology,9876000089,Hapur Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235LIT010,2300100090,2026-2027,Saanvi Patel,Information Technology,9876000090,Bulandshahr Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235LIT011,2300100091,2026-2027,Samarth Saxena,Information Technology,9876000091,Greater Noida Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235LIT012,2300100092,2026-2027,Siya Rao,Information Technology,9876000092,Noida Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235LIT013,2300100093,2026-2027,Vedant Gupta,Information Technology,9876000093,Ghaziabad Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235LIT014,2300100094,2026-2027,Vanya Bansal,Information Technology,9876000094,Delhi,Information Technology,School of Information and Communication Technology,2,3,B
235LIT015,2300100095,2026-2027,Vihaan Malhotra,Information Technology,9876000095,Meerut Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235LIT016,2300100096,2026-2027,Zara Sharma,Information Technology,9876000096,Agra Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235LIT017,2300100097,2026-2027,Aarav Yadav,Information Technology,9876000097,Mathura Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235LIT018,2300100098,2026-2027,Aditi Tiwari,Information Technology,9876000098,Aligarh Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235LIT019,2300100099,2026-2027,Advik Khan,Information Technology,9876000099,Hapur Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235LIT020,2300100100,2026-2027,Ananya Kumar,Information Technology,9876000100,Bulandshahr Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235PCS001,2300100101,2026-2027,Arjun Kapoor,Computer Science and Engineering,9876000101,Greater Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCS002,2300100102,2026-2027,Avni Saini,Computer Science and Engineering,9876000102,Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCS003,2300100103,2026-2027,Dev Verma,Computer Science and Engineering,9876000103,Ghaziabad Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCS004,2300100104,2026-2027,Diya Mehta,Computer Science and Engineering,9876000104,Delhi,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCS005,2300100105,2026-2027,Ishaan Agarwal,Computer Science and Engineering,9876000105,Meerut Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCS006,2300100106,2026-2027,Kavya Srivastava,Computer Science and Engineering,9876000106,Agra Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCS007,2300100107,2026-2027,Krish Mishra,Computer Science and Engineering,9876000107,Mathura Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCS008,2300100108,2026-2027,Meera Chauhan,Computer Science and Engineering,9876000108,Aligarh Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCS009,2300100109,2026-2027,Naksh Arora,Computer Science and Engineering,9876000109,Hapur Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCS010,2300100110,2026-2027,Navya Singh,Computer Science and Engineering,9876000110,Bulandshahr Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCS011,2300100111,2026-2027,Pranav Joshi,Computer Science and Engineering,9876000111,Greater Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCS012,2300100112,2026-2027,Riya Jain,Computer Science and Engineering,9876000112,Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCS013,2300100113,2026-2027,Rohan Chandra,Computer Science and Engineering,9876000113,Ghaziabad Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCS014,2300100114,2026-2027,Saanvi Patel,Computer Science and Engineering,9876000114,Delhi,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCS015,2300100115,2026-2027,Samarth Saxena,Computer Science and Engineering,9876000115,Meerut Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCS016,2300100116,2026-2027,Siya Rao,Computer Science and Engineering,9876000116,Agra Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCS017,2300100117,2026-2027,Vedant Gupta,Computer Science and Engineering,9876000117,Mathura Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCS018,2300100118,2026-2027,Vanya Bansal,Computer Science and Engineering,9876000118,Aligarh Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCS019,2300100119,2026-2027,Vihaan Malhotra,Computer Science and Engineering,9876000119,Hapur Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCS020,2300100120,2026-2027,Zara Sharma,Computer Science and Engineering,9876000120,Bulandshahr Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCW001,2300100121,2026-2027,Aarav Yadav,Computer Science and Engineering,9876000121,Greater Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCW002,2300100122,2026-2027,Aditi Tiwari,Computer Science and Engineering,9876000122,Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCW003,2300100123,2026-2027,Advik Khan,Computer Science and Engineering,9876000123,Ghaziabad Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCW004,2300100124,2026-2027,Ananya Kumar,Computer Science and Engineering,9876000124,Delhi,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCW005,2300100125,2026-2027,Arjun Kapoor,Computer Science and Engineering,9876000125,Meerut Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCW006,2300100126,2026-2027,Avni Saini,Computer Science and Engineering,9876000126,Agra Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCW007,2300100127,2026-2027,Dev Verma,Computer Science and Engineering,9876000127,Mathura Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCW008,2300100128,2026-2027,Diya Mehta,Computer Science and Engineering,9876000128,Aligarh Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCW009,2300100129,2026-2027,Ishaan Agarwal,Computer Science and Engineering,9876000129,Hapur Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCW010,2300100130,2026-2027,Kavya Srivastava,Computer Science and Engineering,9876000130,Bulandshahr Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,A
235PCW011,2300100131,2026-2027,Krish Mishra,Computer Science and Engineering,9876000131,Greater Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCW012,2300100132,2026-2027,Meera Chauhan,Computer Science and Engineering,9876000132,Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCW013,2300100133,2026-2027,Naksh Arora,Computer Science and Engineering,9876000133,Ghaziabad Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCW014,2300100134,2026-2027,Navya Singh,Computer Science and Engineering,9876000134,Delhi,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCW015,2300100135,2026-2027,Pranav Joshi,Computer Science and Engineering,9876000135,Meerut Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCW016,2300100136,2026-2027,Riya Jain,Computer Science and Engineering,9876000136,Agra Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCW017,2300100137,2026-2027,Rohan Chandra,Computer Science and Engineering,9876000137,Mathura Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCW018,2300100138,2026-2027,Saanvi Patel,Computer Science and Engineering,9876000138,Aligarh Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCW019,2300100139,2026-2027,Samarth Saxena,Computer Science and Engineering,9876000139,Hapur Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235PCW020,2300100140,2026-2027,Siya Rao,Computer Science and Engineering,9876000140,Bulandshahr Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,1,1,B
235UAI001,2300100141,2026-2027,Vedant Gupta,Artificial Intelligence,9876000141,Greater Noida Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,A
235UAI002,2300100142,2026-2027,Vanya Bansal,Artificial Intelligence,9876000142,Noida Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,A
235UAI003,2300100143,2026-2027,Vihaan Malhotra,Artificial Intelligence,9876000143,Ghaziabad Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,A
235UAI004,2300100144,2026-2027,Zara Sharma,Artificial Intelligence,9876000144,Delhi,Artificial Intelligence,School of Information and Communication Technology,2,3,A
235UAI005,2300100145,2026-2027,Aarav Yadav,Artificial Intelligence,9876000145,Meerut Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,A
235UAI006,2300100146,2026-2027,Aditi Tiwari,Artificial Intelligence,9876000146,Agra Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,A
235UAI007,2300100147,2026-2027,Advik Khan,Artificial Intelligence,9876000147,Mathura Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,A
235UAI008,2300100148,2026-2027,Ananya Kumar,Artificial Intelligence,9876000148,Aligarh Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,A
235UAI009,2300100149,2026-2027,Arjun Kapoor,Artificial Intelligence,9876000149,Hapur Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,A
235UAI010,2300100150,2026-2027,Avni Saini,Artificial Intelligence,9876000150,Bulandshahr Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,A
235UAI011,2300100151,2026-2027,Dev Verma,Artificial Intelligence,9876000151,Greater Noida Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,B
235UAI012,2300100152,2026-2027,Diya Mehta,Artificial Intelligence,9876000152,Noida Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,B
235UAI013,2300100153,2026-2027,Ishaan Agarwal,Artificial Intelligence,9876000153,Ghaziabad Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,B
235UAI014,2300100154,2026-2027,Kavya Srivastava,Artificial Intelligence,9876000154,Delhi,Artificial Intelligence,School of Information and Communication Technology,2,3,B
235UAI015,2300100155,2026-2027,Krish Mishra,Artificial Intelligence,9876000155,Meerut Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,B
235UAI016,2300100156,2026-2027,Meera Chauhan,Artificial Intelligence,9876000156,Agra Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,B
235UAI017,2300100157,2026-2027,Naksh Arora,Artificial Intelligence,9876000157,Mathura Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,B
235UAI018,2300100158,2026-2027,Navya Singh,Artificial Intelligence,9876000158,Aligarh Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,B
235UAI019,2300100159,2026-2027,Pranav Joshi,Artificial Intelligence,9876000159,Hapur Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,B
235UAI020,2300100160,2026-2027,Riya Jain,Artificial Intelligence,9876000160,Bulandshahr Uttar Pradesh,Artificial Intelligence,School of Information and Communication Technology,2,3,B
235UCA001,2300100161,2026-2027,Rohan Chandra,Computer Applications,9876000161,Greater Noida Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,A
235UCA002,2300100162,2026-2027,Saanvi Patel,Computer Applications,9876000162,Noida Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,A
235UCA003,2300100163,2026-2027,Samarth Saxena,Computer Applications,9876000163,Ghaziabad Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,A
235UCA004,2300100164,2026-2027,Siya Rao,Computer Applications,9876000164,Delhi,Computer Applications,School of Information and Communication Technology,2,3,A
235UCA005,2300100165,2026-2027,Vedant Gupta,Computer Applications,9876000165,Meerut Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,A
