Employee ID,Name,School Code,Designation,Email,Phone
GBU-LARGE-F037,Dr. Riya Malhotra,SOVSAS,Assistant Professor,riya.malhotra.37@example.test,9765000037
GBU-LARGE-F038,Dr. Samarth Srivastava,SOVSAS,Assistant Professor,samarth.srivastava.38@example.test,9765000038
GBU-LARGE-F039,Dr. Vanya Gupta,SOVSAS,Assistant Professor,vanya.gupta.39@example.test,9765000039
GBU-LARGE-F040,Dr. Aarav Mehta,SOVSAS,Assistant Professor,aarav.mehta.40@example.test,9765000040
GBU-LARGE-F041,Dr. Ananya Saxena,SOHSS,Professor,ananya.saxena.41@example.test,9765000041
GBU-LARGE-F042,Dr. Dev Saini,SOHSS,Associate Professor,dev.saini.42@example.test,9765000042
GBU-LARGE-F043,Dr. Kavya Chandra,SOHSS,Associate Professor,kavya.chandra.43@example.test,9765000043
GBU-LARGE-F044,Dr. Naksh Kumar,SOHSS,Assistant Professor,naksh.kumar.44@example.test,9765000044
GBU-LARGE-F045,Dr. Riya Joshi,SOHSS,Assistant Professor,riya.joshi.45@example.test,9765000045
GBU-LARGE-F046,Dr. Samarth Tiwari,SOHSS,Assistant Professor,samarth.tiwari.46@example.test,9765000046
GBU-LARGE-F047,Dr. Vanya Arora,SOHSS,Assistant Professor,vanya.arora.47@example.test,9765000047
GBU-LARGE-F048,Dr. Aarav Sharma,SOHSS,Assistant Professor,aarav.sharma.48@example.test,9765000048
GBU-LARGE-F049,Dr. Ananya Mishra,SOBSC,Professor,ananya.mishra.49@example.test,9765000049
GBU-LARGE-F050,Dr. Dev Bansal,SOBSC,Associate Professor,dev.bansal.50@example.test,9765000050
GBU-LARGE-F051,Dr. Kavya Agarwal,SOBSC,Associate Professor,kavya.agarwal.51@example.test,9765000051
GBU-LARGE-F052,Dr. Naksh Rao,SOBSC,Assistant Professor,naksh.rao.52@example.test,9765000052
GBU-LARGE-F053,Dr. Riya Verma,SOBSC,Assistant Professor,riya.verma.53@example.test,9765000053
GBU-LARGE-F054,Dr. Samarth Patel,SOBSC,Assistant Professor,samarth.patel.54@example.test,9765000054
GBU-LARGE-F055,Dr. Vanya Kapoor,SOBSC,Assistant Professor,vanya.kapoor.55@example.test,9765000055
GBU-LARGE-F056,Dr. Aarav Jain,SOBSC,Assistant Professor,aarav.jain.56@example.test,9765000056
GBU-LARGE-F057,Dr. Ananya Khan,SOLJG,Professor,ananya.khan.57@example.test,9765000057
GBU-LARGE-F058,Dr. Dev Singh,SOLJG,Associate Professor,dev.singh.58@example.test,9765000058
GBU-LARGE-F059,Dr. Kavya Yadav,SOLJG,Associate Professor,kavya.yadav.59@example.test,9765000059
GBU-LARGE-F060,Dr. Naksh Chauhan,SOLJG,Assistant Professor,naksh.chauhan.60@example.test,9765000060
GBU-LARGE-F061,Dr. Riya Malhotra,SOLJG,Assistant Professor,riya.malhotra.61@example.test,9765000061
GBU-LARGE-F062,Dr. Samarth Srivastava,SOLJG,Assistant Professor,samarth.srivastava.62@example.test,9765000062
GBU-LARGE-F063,Dr. Vanya Gupta,SOLJG,Assistant Professor,vanya.gupta.63@example.test,9765000063
GBU-LARGE-F064,Dr. Aarav Mehta,SOLJG,Assistant Professor,aarav.mehta.64@example.test,9765000064
